fomc_date,lm_pct,lm_sentiment,llm_classification,llm_stated_confidence,inner_confidence,reasoning
2006-01-31,3.0195,Neutral,Hawkish,0.95,0.9424941934174107,"The statement explicitly announces a 25-basis-point rate hike and states that “some further policy firming may be needed” to balance risks to growth and price stability—clear language signaling ongoing tightening, despite acknowledging low core inflation and contained expectations. The emphasis on resource utilization pressures and elevated energy prices as inflation risks reinforces the hawkish tilt."
2006-03-28,2.7397,Neutral,Hawkish,0.95,0.9522247679665057,"The statement explicitly announces a 25-basis-point rate hike and states that “some further policy firming may be needed” to balance risks to growth and price stability—clear language signaling ongoing tightening. While it acknowledges modest core inflation and contained expectations, the emphasis on potential inflation pressures from resource utilization and commodity prices reinforces a hawkish bias toward preemptive tightening."
2006-05-10,2.7119,Neutral,Hawkish,0.95,0.946392114927932,"The statement explicitly raises the federal funds rate by 25 bps to 5%, cites strong growth and inflation risks from elevated commodity prices and rising resource utilization, and states that “some further policy firming may yet be needed” — all hallmarks of a hawkish stance. While it adds conditional language about data dependence, the forward guidance leans clearly toward continued tightening to address inflation risks."
2006-08-08,2.8881,Neutral,Hawkish,0.95,0.9387387370616733,"The statement maintains the federal funds rate but explicitly identifies “some inflation risks remain” and states that “the extent and timing of any additional firming that may be needed to address these risks will depend on incoming information”—a clear forward-looking signal of potential further rate hikes, especially given elevated core inflation, high resource utilization, and commodity price pressures. While it acknowledges moderating growth, the emphasis on persistent inflation risks and the conditional language around “additional firming” (not “easing” or “patience”) tilts decisively hawkish."
2006-10-25,3.0576,Neutral,Hawkish,0.95,0.9238729851984998,"While the FOMC held rates steady, the statement emphasizes persistent inflation risks (“some inflation risks remain”), cites “high resource utilization” as a source of sustained inflation pressure, and explicitly signals that “additional firming” (i.e., further rate hikes) may be needed depending on incoming data—clearly leaning toward tightening bias despite the pause. The dovish-sounding references to moderating inflation are qualified and outweighed by the forward-looking hawkish conditional language."
2006-12-12,3.0357,Neutral,Hawkish,0.95,0.915159509964833,"The statement maintains the federal funds rate but explicitly identifies “some inflation risks remain” and states that “the extent and timing of any additional firming that may be needed to address these risks will depend on incoming information”—a clear forward-looking signal of potential further rate hikes, especially given elevated core inflation and high resource utilization. While growth is described as moderating, the emphasis on persistent inflation risks and the conditional language around “additional firming” (not “easing” or “pausing”) tilts decisively hawkish."
2007-05-09,3.5647,Dovish,Hawkish,0.95,0.9367234526472571,"The statement explicitly identifies “the risk that inflation will fail to moderate as expected” as the Committee’s “predominant policy concern,” underscores “high resource utilization” as a sustained inflationary pressure, and avoids any language suggesting patience or easing—despite acknowledging slowing growth and housing weakness. Maintaining the fed funds rate at 5.25% amid elevated core inflation and prioritizing inflation risks over growth risks is classically hawkish."
2007-09-18,3.5461,Dovish,Dovish,0.98,0.9112241471521051,"The FOMC explicitly lowered the federal funds rate by 50 basis points—a decisive accommodative action—and justified it as a preemptive measure to counteract financial market disruptions and restrain broader economic weakness, emphasizing support for growth over inflation concerns despite acknowledging residual inflation risks. The language (“help forestall some of the adverse effects,” “promote moderate growth,” “increased uncertainty”) reflects strong dovish intent, with inflation concerns downplayed as secondary and monitored rather than acted upon."
2007-12-11,2.9982,Neutral,Dovish,0.98,0.9179015068840366,"The FOMC explicitly lowers the federal funds rate by 25 bps—a clear accommodative action—citing slowing growth, housing correction, softening spending, and heightened financial market strains as justification; while it notes “some inflation risks remain,” the emphasis is squarely on supporting growth amid rising uncertainty, with no signal of future tightening."
2008-03-18,3.6332,Dovish,Dovish,1.0,0.9459668341954095,"The statement explicitly announces a 75-basis-point rate cut—the largest in over two decades at the time—citing weakening economic activity, softening labor markets, stressed financial conditions, and heightened downside risks to growth; while acknowledging elevated inflation, it emphasizes expectations of moderation and prioritizes supporting growth and mitigating risks, which is unambiguously accommodative."
2008-04-30,3.1142,Neutral,Dovish,1.0,0.9490495487415523,"The statement explicitly announces a 25-basis-point rate cut to 2%, cites weak economic activity, softening labor markets, and stressed financial conditions as justification, and emphasizes that “substantial easing… should help to promote moderate growth” — all hallmarks of a dovish stance prioritizing accommodation over inflation concerns, despite noting elevated commodity prices and inflation expectations."
2008-06-25,3.3868,Neutral,Dovish,0.95,0.9292248134599184,"The statement maintains the federal funds rate at a historically low 2% amid softening labor markets, stressed financial conditions, and explicit concerns about growth risks—while acknowledging elevated inflation pressures only as “uncertainty” and “upside risks,” not an imminent threat requiring tightening. Crucially, it affirms that “substantial easing… to date” and “ongoing measures to foster market liquidity” are appropriate and should “help promote moderate growth,” signaling continued accommodation rather than a pivot toward tightening."
2008-12-16,3.6437,Dovish,Dovish,0.95,0.9264004557510084,"The statement reports a Term Auction Facility (TAF) auction with a very low stop-out rate of 0.280%, reflecting aggressive liquidity provision during the peak of the 2008 financial crisis—consistent with extraordinary accommodative monetary policy to stabilize markets and ease credit conditions. While the text itself is procedural, the context (December 2008), scale ($150B facility), and near-zero rate signal strong dovish intent."
2009-01-28,3.04,Neutral,Dovish,1.0,0.9217788459102264,"The statement emphasizes severe economic weakness, subdued inflation pressures, risks of deflation, and an explicit commitment to aggressive, unconventional monetary easing—including large-scale asset purchases, balance sheet expansion, and new lending facilities—without any mention of tightening or rate hikes. Every policy action described is accommodative and designed to stimulate demand and stabilize markets during the depths of the Great Recession."
2009-04-29,3.0894,Neutral,Dovish,1.0,0.9418407709181853,"The statement explicitly maintains the federal funds rate at the zero lower bound (0–0.25%), commits to “exceptionally low levels… for an extended period,” and announces large-scale asset purchases ($1.25T MBS, $200B agency debt, $300B Treasuries) to stimulate the economy amid severe contraction and deflationary risks — all hallmarks of aggressive monetary accommodation. It emphasizes concerns about “increasing economic slack” and the risk of inflation falling *below* levels consistent with price stability, reinforcing a dovish stance."
2009-08-12,3.231,Neutral,Dovish,0.98,0.9473772052664513,"The statement explicitly maintains the federal funds rate at the zero lower bound (0–0.25%), states that “exceptionally low levels… are likely to be warranted for an extended period,” and announces large-scale asset purchases ($1.25T MBS, $200B agency debt, $300B Treasuries) to support recovery—clear signals of aggressive monetary accommodation amid weak growth and subdued inflation expectations."
2009-09-23,3.3981,Neutral,Dovish,1.0,0.9493034258096147,"The statement explicitly maintains the federal funds rate at the zero lower bound (0–0.25%), states it “anticipates that economic conditions are likely to warrant exceptionally low levels… for an extended period,” and announces large-scale asset purchases ($1.25T MBS, $200B agency debt, $300B Treasuries) to support recovery—unambiguous accommodative actions amid weak growth, high slack, and subdued inflation expectations."
2010-03-16,3.3708,Neutral,Dovish,0.98,0.9182837663967703,"The statement explicitly maintains the zero-interest-rate policy (0–0.25%), emphasizes that “exceptionally low levels of the federal funds rate [are] warranted for an extended period” due to slack, subdued inflation, and stable expectations, and continues large-scale asset purchases (MBS/agency debt) to support housing and credit markets—clear signals of accommodative, crisis-response monetary policy. While it notes strengthening activity and stabilization, it underscores persistent weakness and provides no hint of tightening or rate hike considerations."
